Business Field,Column Name,Data Type,Definition,Null,Standard Values
Factbase Sequence ID,fb_acct_id,NUMBER(22),Unique identifier for this account that is unique across the Factbase.,Not Null,
Account Identifier,account_id,CHAR(50),Identifier for a specific account that is unique across the enterprise. All trades and transactions are associated with an account identifier.,Not Null,
Business Domain(s),bus_domain,CHAR(65),"Account’s business domain(s) (forexample, institutional brokerage or retail brokerage). uses this field to control access to data across distinct business operations.",Not Null,a: General
,,,,,b: Institutional Broker Dealer
,,,,,c: Retail Brokerage/Private Client
,,,,,d: Retail Banking
,,,,,e: Corporate/Wholesale Banking
,,,,,f: Employee Information
,,,,,g: Asset Management
,,,,,h-z: Other values as specified by the client
Jurisdiction,jurisdiction,CHAR(4),Jurisdiction associated with this account.,Not Null,
Geographic Jurisdiction,geo_jurisdiction,CHAR(100),Geographic jurisdiction associated with this account.,Null,
Branch Code,branch_cd,CHAR(20),Organization where this account is domiciled.,Null,
Account Display Name,display_nm,CHAR(100),Account name to be displayed in the application. This is often the name of the primary customer on the account.,Null,
Account Title Line 1,title_1,CHAR(100),First line of this account’s title.,Null,
Account Title Line 2,title_2,CHAR(100),Second line of this account’s title.,Null,
Account Type,acct_type,CHAR(20),client-specified account type classification for the usage of this account.,Null,CHK: Checking
,,,,,SAV: Savings
,,,,,MM: Money Market
,,,,,RETIRE: Retirement
,,,,,INV: Investment
,,,,,LOAN: Loan
,,,,,HLTH SAV: Health Savings
,,,,,INS: Insurance Policy
,,,,,CC: Credit Card
,,,,,SVCARD: Stored Value Card
,,,,,O: Others
,,,,,TERM: Term/Time Deposit or Certificate of Deposit
,,,,,Firm-specified: Other values as specified by the client
Account Holder Type,acct_holder_type,CHAR(20),Type of internal or external customer that uses this account.,Null,CR: Retail Customer
,,,,,CI: Institutional Customer
,,,,,IA: Investment Advisor
,,,,,CO: Correspondent Financial Institution
,,,,,EE: Employee/Family Member FP: Firm Trading
,,,,,"FO: Firm Owned,"
,,,,,Non-Trading
,,,,,FA: Firm Administrativ e
,,,,,FE: Firm Error/Suspen se
,,,,,DC: Clearing Organization
,,,,,IS: Issuer/Writer
Account Ownership Type,ownership_type,CHAR(20),Form of legal ownership/registration for this account.,Null,IND: Individual
,,,,,JOINT: Joint Tenant/Community Property
,,,,,TRUST: Trust
,,,,,CUST: Custodian
,,,,,CORP: Corporate
,,,,,FIRM: Firm Owned
,,,,,OTHER: Other
Account Purpose,acct_purpose,CHAR(20),Purpose or special use of this account.,Not Null,F: Facilitation
,,,,,L: Lock Box
,,,,,O: Other
,,,,,CA: Custodial Account
,,,,,CDA: Customer Directed Account
,,,,,EA: Escrow Account
,,,,,GOA: General Operating Account
,,,,,PA: Payroll Account
,,,,,PCDA:
,,,,,Proprietary & Customer Directed Account
,,,,,PHE: Personal/Household Expenses
,,,,,POA: Proprietary Operating Account
,,,,,SI: Savings/Investments
,,,,,TPP: Trust/Pension/Profit Sharing Account
Method of Account Opening,opening_method,CHAR(20),"Means by which the customer uses to open this account (e.g., Internet, in person, via a third party).",Null,PER: In person
,,,,,ONL: Online
,,,,,LREP: Legal
,,,,,Representative
,,,,,PHN: Phone
,,,,,O: Others
,,,,,Firm-specified: Other values as specified by the client
Method of Initial Funds,init_fund_method,CHAR(80),"Type of payment made by the customer to supply initial funds for this account (e.g., cash, check, wire transfer, etc.).",Null,CDC: Cash - Debit Card
,,,,,CSVC: Cash - Stored Value Card
,,,,,CCC: Cash -Credit Card
,,,,,CCUR: Cash -Currency
,,,,,CPDR: Cash -Physical Delivery/Receipt
