wl_entry_id,wl_nm,data_id,ref_num,entity_nm,fka_nm,designation_txt,gender_txt,add_info,listed_dt,entity_type
WLE-0,US OFAC,us-ofac.5a1ab56ddebdcb25ac6e6f3fbf59856aa42ecad2,CUBA,CIMEX IBERICA,,,,,,Organization
WLE-1,US OFAC,us-ofac.9dc6eed7d5a28ad4e2ff085a14819518e85d4264,CUBA,PANAMERICAN IMPORT AND EXPORT COMMERCIAL CORPORATION,,,,,,Organization
WLE-2,US OFAC,us-ofac.4d99ceae43da2fe3b2d0561930d3096653d8c1d0,CUBA,TIFON,,,,,,Organization
WLE-3,US OFAC,us-ofac.c6a3b08863708db7e0e2e3b581b93ca755bceede,SDNT,Nubia BUITRAGO MARIN,,,,,,Individual
WLE-4,US OFAC,us-ofac.3a6787367a83df2fc756cdae3f437e94dccc5482,SDNT,Phanor ARIZABALETA ARZAYUS,,,,,,Individual
WLE-5,US OFAC,us-ofac.5ebfbd5cfa7680ca18dbe7d32875e7320d0f0b8f,SDNT,Wilmar Armando PEREZ SERNA,,,,,,Individual
WLE-6,US OFAC,us-ofac.1a578d46457c91750b529697a072919fe321d1ba,SDGT,Cristina GOIRICELAYA GONZALEZ,,,,Member ETA,,Individual
WLE-7,US OFAC,us-ofac.19745cda488ccb04c81e399a923db972092eb91a,SDGT,Habib WADDANI,,,,,,Individual
WLE-8,US OFAC,us-ofac.60aa98409b65b5a6d7b599014b569f9886c3f9c2,SDNT,GANADERIA EL VERGEL LTDA.,,,,,,Organization
WLE-9,US OFAC,us-ofac.bd13b382449459b5c0c269407c15a4c302b157ff,SDGT,BENEVOLENCE INTERNATIONAL FUND,,,,,,Organization
WLE-10,US OFAC,us-ofac.89b4327a83db31911100bc0f25bcf45da714023e,SDGT,LAJNAT AL DAAWA AL ISLAMIYYA,,,,,,Organization
WLE-11,US OFAC,us-ofac.a38257dd7fca7f7abea7e13a0b219c7646104ad2,ZIMBABWE,Flora BUKA,,"Minister of State for Special Affairs, Land and Resettlement Program",,,,Individual
WLE-12,US OFAC,us-ofac.859c1bb6d04013088e32c900bf72320dc129e6ea,ZIMBABWE,Fortune Zefanaya CHARUMBIRA,,Member of Parliament & Central Committee Member,,,,Individual
WLE-13,US OFAC,us-ofac.f6b8821e1c51861ff75e4dfdb4f190786e04741b,ZIMBABWE,Kenneth MANYONDA,,Central Committee Member,,,,Individual
WLE-14,US OFAC,us-ofac.bad98c5a58da7ceec8a5dffb757ab5cdf9b4163f,BALKANS,Ranko CESIC,,,,ICTY indictee in custody,,Individual
WLE-15,US OFAC,us-ofac.c60b4ff6883a3a5ce76e722ee3950e1ce57905c6,BALKANS,CETNIK RAVNAGORSKI POKRET,,,,,,Organization
WLE-16,US OFAC,us-ofac.c7c6d41f087da19fe1a643d0391e2f59ae48f928,BALKANS,FRONT FOR ALBANIAN NATIONAL UNITY,,,,,,Organization
WLE-17,US OFAC,us-ofac.5b755128179e9145e379960c169a095fd1e0e75e,BALKANS,Dusan FUSTAR,,,,ICTY indictee in custody,,Individual
WLE-18,US OFAC,us-ofac.715fb9da363d9fa315d289ee212f5d9003d9449c,BALKANS,Enver HADZIHASANOVIC,,,,ICTY indictee,,Individual
WLE-19,US OFAC,us-ofac.f6bb53991b6d43f0ce92cd35ec101dce417763fc,BALKANS,Daut HARADINAJ,,,,,,Individual
WLE-20,US OFAC,us-ofac.3a377ba3a60099614b5a0a331fde498d08c5f02b,BALKANS,Gojko JANKOVIC,,,,ICTY indictee at large; sub-commander of the military police in Foca,,Individual
WLE-21,US OFAC,us-ofac.fb72497d8e6c79cf5ce7acc9eb5965ce578c4f3c,BALKANS,Miodrag JOKIC,,,,ICTY indictee,,Individual
WLE-22,US OFAC,us-ofac.cfdc949d2bf032f3f090ecbad38ec39db6b365e2,BALKANS,Momcilo KRAJISNIK,,,,ICTY indictee,,Individual
WLE-23,US OFAC,us-ofac.6f7a5a104e32b3a51d079f052d0fa8b4ccccd7a3,BALKANS,Miroslav KVOCKA,,,,ICTY indictee,,Individual
WLE-24,US OFAC,us-ofac.d7aa483b37fc3612f0d5b4bb31c9012c6847e61e,BALKANS,Milan LUKIC,,,,ICTY indictee at large,,Individual
WLE-25,US OFAC,us-ofac.063e101164cdbc9b090c0b3a17c1b3e4c7bbe4ae,BALKANS,Ton MARKU,,,,,,Individual
WLE-26,US OFAC,us-ofac.6b4b58bc45719f7f08432b2f08a1abfc4e6320b8,BALKANS,Vinko MARTINOVIC,,,,ICTY indictee,,Individual
WLE-27,US OFAC,us-ofac.850fa029984a69e47fbcb87e02ebf5ec49e04fd6,BALKANS,Borislav MILOSEVIC,,,,brother of Slobodan Milosevic,,Individual
WLE-28,US OFAC,us-ofac.320650c6d431454e98584e11424ca686144c4d46,BALKANS,Dragomir MILOSEVIC,,,,ICTY indictee,,Individual
WLE-29,US OFAC,us-ofac.6faff8ab7e873ca9abe45a6a2e50d9f71410cde7,BALKANS,Milanka MILOSEVIC,,,,sister-in-law of Slobodan Milosevic,,Individual
WLE-30,US OFAC,us-ofac.6aafaa5bef77c3c73e3df75800a36894432cd000,BALKANS,Darko MRDJA,,,,ICTY indictee,,Individual
WLE-31,US OFAC,us-ofac.5d90fa98101ac9fd06582db159c0cdda12edb3a1,BALKANS,Zdravko MUCIC,,,,ICTY indictee,,Individual
WLE-32,US OFAC,us-ofac.b1c4edf3247a53009abb8d14e7c9a55e6d2bb5a7,BALKANS,Rrustem MUSTAFA,,,,,,Individual
WLE-33,US OFAC,us-ofac.f292e42f7b66fb302162ae28e652dab4a044ef11,CUBA,TROPIC TOURS GMBH,,,,,,Organization
WLE-34,US OFAC,us-ofac.a5271309e798390c2fd349da60d4521cf1db37dd,SDGT,Sami Ben Khemais ESSID,,,,,,Individual
WLE-35,US OFAC,us-ofac.35628cadb0db318ac50c410475de302be444152b,SDGT,Lexuri GALLASTEGUI SODUPE,,,,Member ETA,,Individual
WLE-36,US OFAC,us-ofac.94958f6b3685f72d433048625b8060b086f64b89,SDGT,Yassine CHEKKOURI,,,,,,Individual
WLE-37,US OFAC,us-ofac.d5ee6f19344be8ac72bc872b5fb6e21da48ec83d,SDGT,Mehdi KAMMOUN,,,,Italian Fiscal Code: KMMMHD68D03Z352N,,Individual
WLE-38,US OFAC,us-ofac.97ed89c7c4db9e923770dfbbb6e58f9ba7ecd5fc,SDNT,AGRICOLA DOIMA DEL NORTE DEL VALLE LTDA.,,,,,,Organization
WLE-39,US OFAC,us-ofac.ba03a85ef49baa698f7426eab025c09fc519ad6b,SDNT,GANADERIAS BILBAO LTDA.,,,,,,Organization
WLE-40,US OFAC,us-ofac.0e8b231ada816ba347cb1d37200b9d44ceec1942,SDNT,INVERSIONES LA QUINTA Y CIA. LTDA.,,,,,,Organization
WLE-41,US OFAC,us-ofac.eb5840a44204729020e178ba80d62cbeacc4de04,SDNT,Eugenio MONTOYA SANCHEZ,,,,,,Individual
WLE-42,US OFAC,us-ofac.a7ed3d383cd84bc0189f60cdcc33818e5a1c1679,SDGT,Enrique IZTUETA BARANDICA,,,,member ETA,,Individual
WLE-43,US OFAC,us-ofac.ed45fa73aeebf02c648002bd70c02736d69cb070,ZIMBABWE,Robert Gabriel MUGABE,,President of the Republic of Zimbabwe,,,,Individual
WLE-44,US OFAC,us-ofac.5d91610bcd7229d26bec281649a78e8d91e7b79e,ZIMBABWE,Augustine CHIHURI,,Police Commissioner,,,,Individual
WLE-45,US OFAC,us-ofac.46e15e0580f5853bcf40321a598bd4d3c11f2516,ZIMBABWE,Christopher Chindoti MUSHOHWE,,Minister of Transport and Communications,,,,Individual
WLE-46,US OFAC,us-ofac.d59ea8101ff1aa11c7e740d43b0a198e9c404e3a,BALKANS,Vidoje BLAGOJEVIC,,,,ICTY indictee,,Individual
WLE-47,US OFAC,us-ofac.fc8b42edd2f58aef30afacf2a900ca642b058e73,BALKANS,Zhavit HASANI,,,,,,Individual
WLE-48,US OFAC,us-ofac.49341c2dd7f3fc1276a62576f13aef546b5cf555,BALKANS,Dragan JOKIC,,,,ICTY indictee,,Individual
WLE-49,US OFAC,us-ofac.5ff3f0c393824610d8f4b66d64b0b82ad82eb335,BALKANS,Drago JOSIPOVIC,,,,ICTY indictee,,Individual
WLE-50,US OFAC,us-ofac.63174378d5b0485820bf23081e847c180001edc5,BALKANS,Luka KARADZIC,,,,,,Individual
WLE-51,US OFAC,us-ofac.c0ddbd70f6d5921aa8fb8c05532962fcc5158a17,BALKANS,Dario KORDIC,,,,ICTY indictee,,Individual
WLE-52,US OFAC,us-ofac.8bbd09538f1cd44e876d463a89e86d06542517b9,BALKANS,Dragoljub KUNARAC,,,,ICTY indictee,,Individual
WLE-53,US OFAC,us-ofac.09ca1ca8342a92f889bbb99728c17b240c1c5460,BALKANS,Ramiz LLADROVICI,,,,,,Individual
WLE-54,US OFAC,us-ofac.9e9535ab805b76d5c806a6cc9e5a6e5cc98e0680,BALKANS,Sami LUSHTAKU,,,,,,Individual
WLE-55,US OFAC,us-ofac.09308fafbdcaf2cfe124c34884a61bc075142505,BALKANS,Momcilo MANDIC,,,,,,Individual
WLE-56,US OFAC,us-ofac.49aa182f10e94c33af423e730a65b665f4e473a7,BALKANS,Xhavit MORINA,,,,,,Individual
WLE-57,US OFAC,us-ofac.15a01a69cb587734601b23c12b51b67e3d5d7bed,BALKANS,Isak MUSLIU,,,,,,Individual
